student,attempt_date,assignment_date,lesson_title,activity_variant,report_grade,domain,skill_group,score_percent,source,captured_at
Student A,2026-09-09,2026-09-08,Beginning Sounds 2,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,75,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-09T16:21:01-04:00
Student A,2026-09-10,2026-09-09,Blend Syllables,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Syllables,94,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-10T09:35:22-04:00
Student A,2026-09-10,2026-09-09,Short Vowel Sound a,Basic,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,89,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-10T09:35:22-04:00
Student A,2026-09-10,2026-09-08,Blend Sounds 2,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,92,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-10T09:35:22-04:00
Student A,2026-09-10,2026-09-08,Make New Words,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,71,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-10T09:35:22-04:00
Student A,2026-09-10,2026-09-10,Blend Syllables,Practice 1,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Syllables,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-10T11:04:01-04:00
Student A,2026-09-10,2026-09-10,Short Vowel Sound u,Basic,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,89,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-10T11:04:01-04:00
Student A,2026-09-10,2026-09-10,Blend Sounds 2,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,69,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-10T16:23:08-04:00
Student A,2026-09-10,2026-09-10,Blend Syllables,Practice 2,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Syllables,93,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-10T16:23:08-04:00
Student A,2026-09-10,2026-09-09,Words: End Sound,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,56,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-10T16:23:08-04:00
Student A,2026-09-10,2026-09-08,Make New Words,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-10T16:23:08-04:00
Student A,2026-09-10,2026-09-08,Make New Words,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,85,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-10T16:23:08-04:00
Student A,2026-09-10,2026-09-10,Blend Sounds 2,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,75,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T09:41:46-04:00
Student A,2026-09-10,2026-09-10,Short Vowel Sound u,Basic,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T09:41:46-04:00
Student A,2026-09-10,2026-09-10,Blend Syllables,Practice 2,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Syllables,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T09:41:46-04:00
Student A,2026-09-10,2026-09-09,Short Vowel Sound a,Basic,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T09:41:46-04:00
Student A,2026-09-11,2026-09-11,Short Vowel Sound a,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,84,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T15:50:45-04:00
Student A,2026-09-11,2026-09-10,Blend Sounds 2,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T15:50:45-04:00
Student A,2026-07-14,2026-09-10,"Words with b, c, d",Main,Preschool (Age 4),Reading Foundational Skills - Phonics,CVC Words - Beginning Sounds,92,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T15:50:45-04:00
Student A,2026-09-11,2026-09-10,"Words with b, c, d",Main,Preschool (Age 4),Reading Foundational Skills - Phonics,CVC Words - Beginning Sounds,39,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T15:50:45-04:00
Student A,2026-09-11,2026-09-08,Make New Words,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,92,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T15:50:45-04:00
Student A,2026-09-11,2026-09-08,Make New Words,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T15:50:45-04:00
Student A,2026-09-11,2026-09-11,Blend Sounds 2,Practice 1,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,67,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T16:37:22-04:00
Student A,2026-09-11,2026-09-11,Beginning Sounds 2,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,79,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T16:51:55-04:00
Student A,2026-09-11,2026-09-09,Words: End Sound,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,68,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T16:51:55-04:00
Student A,2026-09-11,2026-09-11,Make New Words,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,92,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-11T19:40:56-04:00
Student A,2026-09-12,2026-09-11,Beginning Sounds 2,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,94,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-12T09:10:42-04:00
Student A,2026-09-11,2026-09-11,Blend Sounds 1,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Onset & Rime,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-12T09:10:42-04:00
Student A,2026-09-12,2026-09-11,Blend Sounds 1,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Onset & Rime,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-12T09:10:42-04:00
Student A,2026-09-12,2026-09-10,Short Vowel Sound i,Basic,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-12T09:10:42-04:00
Student A,2026-09-12,2026-09-09,Words: End Sound,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,69,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-12T09:10:42-04:00
Student A,2026-09-12,2026-09-12,Short Vowel Sound e,Basic,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-12T09:28:12-04:00
Student A,2026-09-12,2026-09-11,Short Vowel Sound a,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-12T17:03:22-04:00
Student A,2026-09-12,2026-09-11,Make New Words,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,88,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-12T17:03:22-04:00
Student A,2026-09-12,2026-09-10,Words with m & n,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,CVC Words - Ending Sounds,58,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-12T17:03:22-04:00
Student A,2026-09-12,2026-09-12,Blend Sounds 1,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Onset & Rime,90,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-12T19:43:38-04:00
Student A,2026-09-12,2026-09-12,Short Vowel Sound o,Basic,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-12T19:43:38-04:00
Student A,2026-09-13,2026-09-12,Short Vowel Sound a,Practice 1,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,84,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-13T09:39:11-04:00
Student A,2026-09-13,2026-09-11,Blend Sounds 2,Practice 1,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,78,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-13T09:39:11-04:00
Student A,2026-09-13,2026-09-11,Make New Words,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,94,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-13T09:39:11-04:00
Student A,2026-09-13,2026-09-12,Short Vowel Sound a,Practice 1,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-13T10:15:56-04:00
Student A,2026-09-13,2026-09-12,Blend Sounds 1,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Onset & Rime,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-13T15:00:55-04:00
Student A,2026-09-14,2026-09-13,Blend Sounds 1,Practice 1,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Onset & Rime,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-14T09:29:29-04:00
Student A,2026-09-13,2026-09-12,Short Vowel Sound i,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-14T09:29:29-04:00
Student A,2026-09-14,2026-09-12,Short Vowel Sound i,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-14T09:29:29-04:00
Student A,2026-09-13,2026-09-12,Short Vowel Sound o,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-14T09:29:29-04:00
Student A,2026-09-14,2026-09-11,Blend Sounds 2,Practice 1,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-14T09:29:29-04:00
Student A,2026-09-15,2026-09-14,Blend Sounds 1,Practice 2,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Onset & Rime,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-15T12:40:26-04:00
Student A,2026-09-15,2026-09-12,Short Vowel Sound u,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-15T12:40:26-04:00
Student A,2026-09-15,2026-09-12,Beginning Sounds 2,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,59,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-15T12:40:26-04:00
Student A,2026-09-15,2026-09-11,Make New Words,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-15T12:40:26-04:00
Student A,2026-09-16,2026-09-15,Beginning Sounds 1,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Onset & Rime,96,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-16T09:05:20-04:00
Student A,2026-09-16,2026-09-15,Blend Sounds 2,Practice 2,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,78,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-16T09:05:20-04:00
Student A,2026-09-16,2026-09-13,Words with a,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,CVC Words - Middle Sounds,88,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-16T09:05:20-04:00
Student A,2026-09-16,2026-09-12,Short Vowel Sound e,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,78,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-16T09:05:20-04:00
Student A,2026-09-16,2026-09-15,Beginning Sounds 1,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Onset & Rime,94,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-16T15:19:23-04:00
Student A,2026-09-16,2026-09-15,Make New Words,Practice 1,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,83,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-16T15:19:23-04:00
Student A,2026-09-16,2026-09-13,Words with a,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,CVC Words - Middle Sounds,38,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-16T15:19:23-04:00
Student A,2026-09-16,2026-09-12,Short Vowel Sound e,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,84,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-16T15:19:23-04:00
Student A,2026-09-16,2026-09-15,Rhyming,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Rhyming,79,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-16T15:41:18-04:00
Student A,2026-09-17,2026-09-15,Short Vowel Sound i,Practice 1,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T08:51:25-04:00
Student A,2026-09-16,2026-09-12,Short Vowel Sound e,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,84,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T08:51:25-04:00
Student A,2026-09-17,2026-09-15,Make New Words,Practice 1,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,94,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T09:15:56-04:00
Student A,2026-09-17,2026-09-12,Short Vowel Sound e,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,84,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T09:15:56-04:00
Student A,2026-09-17,2026-09-15,Make New Words,Practice 1,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,83,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T11:21:54-04:00
Student A,2026-09-17,2026-09-12,Short Vowel Sound e,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T11:21:54-04:00
Student A,2026-09-17,2026-09-17,Short Vowel Sound e,Practice 1,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,98,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T14:44:45-04:00
Student A,2026-08-23,2026-09-17,Lowercase l,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Lowercase Letters,85,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T14:44:45-04:00
Student A,2026-09-17,2026-09-17,Lowercase l,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Lowercase Letters,76,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T14:44:45-04:00
Student A,2026-09-17,2026-09-17,Lowercase l,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Lowercase Letters,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T14:44:45-04:00
Student A,2026-05-16,2026-09-17,Beginning Sound c,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,77,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T14:44:45-04:00
Student A,2026-08-28,2026-09-17,Beginning Sound c,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,60,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T14:44:45-04:00
Student A,2026-09-01,2026-09-17,Beginning Sound c,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,94,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T14:44:45-04:00
Student A,2026-09-17,2026-09-17,Beginning Sound c,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T14:44:45-04:00
Student A,2026-09-17,2026-09-16,Beginning Sounds 1,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Onset & Rime,81,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T14:44:45-04:00
Student A,2026-09-17,2026-09-17,Short Vowel Sound e,Practice 1,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T20:01:53-04:00
Student A,2026-09-04,2026-09-17,Beginning Sound f,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,87,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T20:01:53-04:00
Student A,2026-09-17,2026-09-17,Beginning Sound f,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T20:01:53-04:00
Student A,2026-09-17,2026-09-17,Beginning Sound r,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T20:01:53-04:00
Student A,2026-09-17,2026-09-17,Beginning Sound t,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,67,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T20:01:53-04:00
Student A,2026-09-17,2026-09-17,Beginning Sound v,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,94,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T20:01:53-04:00
Student A,2026-09-17,2026-09-16,Beginning Sounds 1,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Onset & Rime,92,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T20:01:53-04:00
Student A,2026-09-17,2026-09-16,Beginning Sounds 1,Main,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Onset & Rime,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-17T20:01:53-04:00
Student A,2026-09-18,2026-09-17,Beginning Sound s,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,92,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-18T11:00:21-04:00
Student A,2026-09-18,2026-09-17,Beginning Sound v,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,84,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-18T11:00:21-04:00
Student A,2026-09-18,2026-09-15,Make New Words,Practice 1,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,78,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-18T11:00:21-04:00
Student A,2026-09-18,2026-09-17,Beginning Sound s,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-18T15:58:30-04:00
Student A,2026-09-18,2026-09-17,Beginning Sound t,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-18T15:58:30-04:00
Student A,2026-09-18,2026-09-17,Beginning Sound v,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-18T15:58:30-04:00
Student A,2026-09-18,2026-09-15,Blend Sounds 2,Practice 2,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-18T15:58:30-04:00
Student A,2026-09-19,2026-09-18,Letters & Words,Practice 2,Kindergarten,Reading Foundational Skills,"Print Concepts: Words, Letters & Numbers",67,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T09:40:12-04:00
Student A,2026-09-19,2026-09-17,Beginning Sound w,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T09:40:12-04:00
Student A,2026-09-19,2026-09-17,Beginning Sound y,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T09:40:12-04:00
Student A,2026-09-19,2026-09-17,Beginning Sound p,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,84,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T09:40:12-04:00
Student A,2026-09-19,2026-09-15,Rhyming,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Rhyming,83,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T09:40:12-04:00
Student A,2026-09-19,2026-09-15,Make New Words,Practice 1,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,81,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T09:40:12-04:00
Student A,2026-09-19,2026-09-15,Short Vowel Sound o,Practice 1,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T09:40:12-04:00
Student A,2026-09-19,2026-09-17,Beginning Sound p,Practice 2,Preschool (Age 3),Reading Foundational Skills - Phonics,Beginning Letter Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T14:03:43-04:00
Student A,2026-09-19,2026-09-15,Short Vowel Sound u,Practice 1,Preschool (Age 4),Reading Foundational Skills - Phonics,Short Vowel Sounds,100,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T14:03:43-04:00
Student A,2026-09-19,2026-09-19,Words with e,Main,Preschool (Age 4),Reading Foundational Skills - Phonics,CVC Words - Middle Sounds,63,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T15:24:31-04:00
Student A,2026-09-19,2026-09-18,Letters & Words,Practice 2,Kindergarten,Reading Foundational Skills,"Print Concepts: Words, Letters & Numbers",93,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T15:24:31-04:00
Student A,2026-09-19,2026-09-15,Rhyming,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Rhyming,94,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T15:24:31-04:00
Student A,2026-09-19,2026-09-15,Make New Words,Practice 1,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Add Phonemes,90,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-19T15:24:31-04:00
Student A,2026-09-20,2026-09-18,Letters & Words,Practice 2,Kindergarten,Reading Foundational Skills,"Print Concepts: Words, Letters & Numbers",88,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-20T09:38:44-04:00
Student A,2026-09-20,2026-09-15,Rhyming,Basic,Preschool (Age 4),Reading Foundational Skills,Phonological Awareness: Rhyming,92,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-20T09:38:44-04:00
Student A,2026-09-20,2026-09-18,Letters & Words,Practice 2,Kindergarten,Reading Foundational Skills,"Print Concepts: Words, Letters & Numbers",87,Khan Kids Class Reports > Assignments > Lesson Scores,2026-09-20T14:39:11-04:00
