action_date,student,action,lesson_title,activity_variant,reason,result,recorded_at
2026-09-11,Student A,unchecked,"Words with f, g, h",Main,"quarantined: through 2026-10-10 (eligible again 2026-10-11): 30-day instructional quarantine of the CVC beginning-sounds lesson type after poor transfer on Words with b, c, d",saved,
2026-09-11,Student A,unchecked,"Words with m, n, p",Main,"quarantined: through 2026-10-10 (eligible again 2026-10-11): 30-day instructional quarantine of the CVC beginning-sounds lesson type after poor transfer on Words with b, c, d",saved,
2026-09-11,Student A,checked,Beginning Sounds 2,Basic,next mastery rung in a rotating stretch slot,saved; final verification pending,
2026-09-11,Student A,checked,Blend Sounds 1,Basic,next mastery rung in a rotating stretch slot,saved; final verification pending,
2026-09-12,Student A,unchecked,Short Vowel Sound i,Basic,mastered: latest attempt is 100%; promote to Short Vowel Sound i — Main,saved,
2026-09-12,Student A,unchecked,Blend Sounds 1,Basic,mastered: latest attempt is 100%; promote to Blend Sounds 1 — Main,saved,
2026-09-12,Student A,checked,Blend Sounds 1,Main,next mastery rung in a rotating stretch slot,saved; final verification pending,
2026-09-12,Student A,checked,Short Vowel Sound i,Main,first unmastered activity in short_i_cvc_middle,saved; final verification pending,
2026-09-12,Student A,unchecked,Words: End Sound,Main,quarantined: through 2026-09-25 (eligible again 2026-09-26): 14-day instructional quarantine after 4 Main attempts; latest score is below 70% (69%); scores: 83% → 56% → 68% → 69%,saved,
2026-09-12,Student A,checked,Short Vowel Sound e,Basic,queue-target fallback beyond the normal diversity cap: first unmastered activity in short_e_cvc_middle,saved; final verification pending,
2026-09-12,Student A,unchecked,Short Vowel Sound u,Main,deferred: active instructional group is limited to 3 lessons,saved,
2026-09-12,Student A,unchecked,Short Vowel Sound e,Basic,mastered: latest attempt is 100%; promote to Short Vowel Sound e — Main,saved,
2026-09-12,Student A,checked,Short Vowel Sound e,Main,first unmastered activity in short_e_cvc_middle,saved; final verification pending,
2026-09-12,Student A,checked,Short Vowel Sound o,Basic,queue-target fallback beyond the normal diversity cap: first unmastered activity in short_o_cvc_middle,saved; final verification pending,
2026-09-12,Student A,unchecked,Words with m & n,Main,deferred for retry: latest stretch attempt is below 70% (58%); waiting for supporting mastery,saved,
2026-09-12,Student A,unchecked,Beginning Sounds 2,Basic,mastered: two consecutive attempts are at least 90%; promote to Beginning Sounds 2 — Main,saved,
2026-09-12,Student A,unchecked,Short Vowel Sound a,Main,mastered: latest attempt is 100%; promote to Short Vowel Sound a — Practice 1,saved,
2026-09-12,Student A,checked,Beginning Sounds 2,Main,next mastery rung in a rotating stretch slot,saved; final verification pending,
2026-09-12,Student A,checked,Short Vowel Sound a,Practice 1,first unmastered activity in short_a_cvc_middle,saved; final verification pending,
2026-09-12,Student A,checked,Short Vowel Sound u,Main,queue-target fallback beyond the normal diversity cap: first unmastered activity in short_u_cvc_middle,saved; final verification pending,
2026-09-12,Student A,unchecked,Beginning Sounds 2,Main,waiting for an open stretch slot,saved,
2026-09-12,Student A,unchecked,Short Vowel Sound o,Basic,mastered: latest attempt is 100%; promote to Short Vowel Sound o — Main,saved,
2026-09-12,Student A,checked,Beginning Sounds 2,Basic,next mastery rung in a rotating stretch slot,saved; final verification pending,
2026-09-12,Student A,checked,Short Vowel Sound o,Main,queue-target fallback beyond the normal diversity cap: first unmastered activity in short_o_cvc_middle,saved; final verification pending,
2026-09-13,Student A,unchecked,Short Vowel Sound a,Practice 1,mastered: latest attempt is 100%; promote to Words with a — Main,saved,2026-09-13T10:16:05.170434-04:00
2026-09-13,Student A,checked,Words with a,Main,first unmastered activity in short_a_cvc_middle,saved; final verification pending,2026-09-13T10:16:38.199399-04:00
2026-09-13,Student A,unchecked,Blend Sounds 1,Main,mastered: latest attempt is 100%; promote to Blend Sounds 1 — Practice 1,saved,2026-09-13T15:01:03.882346-04:00
2026-09-13,Student A,checked,Blend Sounds 1,Practice 1,next mastery rung in a rotating stretch slot,saved; final verification pending,2026-09-13T15:01:19.918418-04:00
2026-09-14,Student A,unchecked,Blend Sounds 2,Practice 1,mastered: latest attempt is 100%; promote to Blend Sounds 2 — Practice 2,saved,2026-09-14T09:29:38.032207-04:00
2026-09-14,Student A,unchecked,Short Vowel Sound o,Main,mastered: latest attempt is 100%; promote to Short Vowel Sound o — Practice 1,saved,2026-09-14T09:29:43.832482-04:00
2026-09-14,Student A,unchecked,Short Vowel Sound i,Main,mastered: latest attempt is 100%; promote to Short Vowel Sound i — Practice 1,saved,2026-09-14T09:29:48.346932-04:00
2026-09-14,Student A,unchecked,Blend Sounds 1,Practice 1,mastered: latest attempt is 100%; promote to Blend Sounds 1 — Practice 2,saved,2026-09-14T09:29:54.129641-04:00
2026-09-14,Student A,checked,Blend Sounds 1,Practice 2,next mastery rung in a rotating stretch slot,saved; final verification pending,2026-09-14T09:30:08.582754-04:00
2026-09-15,Student A,checked,Rhyming,Basic,next mastery rung in a rotating stretch slot,saved; final verification pending,2026-09-15T13:06:01.219620-04:00
2026-09-15,Student A,checked,Beginning Sounds 1,Basic,next mastery rung in a rotating stretch slot,saved; final verification pending,2026-09-15T13:06:25.990323-04:00
2026-09-15,Student A,checked,Blend Sounds 2,Practice 2,first unmastered activity in three_phoneme_blending,saved; final verification pending,2026-09-15T13:06:50.997739-04:00
2026-09-15,Student A,unchecked,Beginning Sounds 2,Main,deferred for retry: latest stretch attempt is below 70% (59%); waiting for supporting mastery,saved,2026-09-15T13:07:08.805480-04:00
2026-09-15,Student A,checked,Make New Words,Practice 1,first unmastered activity in phoneme_manipulation,saved; final verification pending,2026-09-15T13:07:29.124408-04:00
2026-09-15,Student A,unchecked,Blend Sounds 1,Practice 2,mastered: latest attempt is 100%; stretch lesson family complete,saved,2026-09-15T13:07:44.999389-04:00
2026-09-15,Student A,checked,Short Vowel Sound i,Practice 1,first unmastered activity in short_i_cvc_middle,saved; final verification pending,2026-09-15T13:08:19.095795-04:00
2026-09-15,Student A,unchecked,Make New Words,Main,mastered: latest attempt is 100%; promote to Make New Words — Practice 1,saved,2026-09-15T13:08:35.306497-04:00
2026-09-15,Student A,checked,Short Vowel Sound o,Practice 1,first unmastered activity in short_o_cvc_middle,saved; final verification pending,2026-09-15T13:09:13.591898-04:00
2026-09-15,Student A,unchecked,Short Vowel Sound u,Main,mastered: latest attempt is 100%; promote to Short Vowel Sound u — Practice 1,saved,2026-09-15T13:09:29.945075-04:00
2026-09-15,Student A,checked,Short Vowel Sound u,Practice 1,queue-target fallback beyond the normal diversity cap: first unmastered activity in short_u_cvc_middle,saved; final verification pending,2026-09-15T13:10:02.237874-04:00
2026-09-16,Student A,unchecked,Beginning Sounds 1,Basic,mastered: two consecutive attempts are at least 90%; promote to Beginning Sounds 1 — Main,saved,2026-09-16T15:19:31.486119-04:00
2026-09-16,Student A,checked,Beginning Sounds 1,Main,next mastery rung in a rotating stretch slot,saved; final verification pending,2026-09-16T15:19:49.878926-04:00
2026-09-17,Student A,unchecked,Short Vowel Sound i,Practice 1,mastered: latest attempt is 100%; promote to Words with i — Main,saved,2026-09-17T08:51:33.950745-04:00
2026-09-17,Student A,checked,Words with i,Main,first unmastered activity in short_i_cvc_middle,saved; final verification pending,2026-09-17T08:52:07.705683-04:00
2026-09-17,Student A,unchecked,Short Vowel Sound e,Main,mastered: latest attempt is 100%; promote to Short Vowel Sound e — Practice 1,saved,2026-09-17T11:22:03.357058-04:00
2026-09-17,Student A,checked,Short Vowel Sound e,Practice 1,first unmastered activity in short_e_cvc_middle,saved; final verification pending,2026-09-17T11:22:37.716468-04:00
2026-09-17,Student A,checked,Lowercase l,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; final verification pending,2026-09-17T13:56:41.209866-04:00
2026-09-17,Student A,checked,Beginning Sound c,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; final verification pending,2026-09-17T14:09:15.041475-04:00
2026-09-17,Student A,unchecked,Beginning Sound c,Practice 2,mastered: latest attempt is 100%,saved,2026-09-17T14:44:58.960856-04:00
2026-09-17,Student A,unchecked,Lowercase l,Practice 2,mastered: latest attempt is 100%,saved,2026-09-17T14:45:13.724186-04:00
2026-09-17,Student A,checked,Beginning Sound f,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; final verification pending,2026-09-17T14:47:13.472890-04:00
2026-09-17,Student A,checked,Beginning Sound r,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; final verification pending,2026-09-17T14:49:56.605145-04:00
2026-09-17,Student A,checked,Beginning Sound s,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; verified,2026-09-17T15:16:40.318228-04:00
2026-09-17,Student A,checked,Beginning Sound t,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; verified,2026-09-17T15:17:53.488254-04:00
2026-09-17,Student A,checked,Beginning Sound v,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; verified,2026-09-17T15:19:05.662573-04:00
2026-09-17,Student A,unchecked,Beginning Sound f,Practice 2,mastered: latest attempt is 100%,saved,2026-09-17T20:02:07.979439-04:00
2026-09-17,Student A,unchecked,Beginning Sound r,Practice 2,mastered: latest attempt is 100%,saved,2026-09-17T20:02:25.127793-04:00
2026-09-17,Student A,unchecked,Beginning Sounds 1,Main,waiting for an open stretch slot,saved,2026-09-17T20:02:42.437368-04:00
2026-09-17,Student A,unchecked,Short Vowel Sound e,Practice 1,mastered: latest attempt is 100%; successor waiting for an open queue slot,saved,2026-09-17T20:03:01.334227-04:00
2026-09-17,Student A,checked,Beginning Sound w,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; verified,2026-09-17T20:09:35.448593-04:00
2026-09-17,Student A,checked,Beginning Sound y,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; verified,2026-09-17T20:09:35.456268-04:00
2026-09-17,Student A,checked,Beginning Sound z,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; verified,2026-09-17T20:09:35.459966-04:00
2026-09-17,Student A,checked,Ending Sound d,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; verified,2026-09-17T20:09:35.463615-04:00
2026-09-17,Student A,checked,Beginning Sound p,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; verified,2026-09-17T20:10:21.707687-04:00
2026-09-18,Student A,unchecked,Beginning Sound s,Practice 2,mastered: latest attempt is 100%,saved,2026-09-18T15:58:41.409941-04:00
2026-09-18,Student A,unchecked,Beginning Sound t,Practice 2,mastered: latest attempt is 100%,saved,2026-09-18T15:58:58.161826-04:00
2026-09-18,Student A,unchecked,Beginning Sound v,Practice 2,mastered: latest attempt is 100%,saved,2026-09-18T15:59:14.006179-04:00
2026-09-18,Student A,unchecked,Blend Sounds 2,Practice 2,mastered: latest attempt is 100%; selected lesson family complete,saved,2026-09-18T15:59:29.970286-04:00
2026-09-18,Student A,checked,Letters & Words,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; verified,2026-09-18T16:32:29.170934-04:00
2026-09-18,Student A,checked,Letters & Numbers,Practice 2,parent assigned this variant; protected until mastered or unassigned,saved; verified,2026-09-18T16:33:01.012136-04:00
2026-09-19,Student A,unchecked,Beginning Sound w,Practice 2,mastered: latest attempt is 100%,saved,2026-09-19T09:40:24.001923-04:00
2026-09-19,Student A,unchecked,Beginning Sound y,Practice 2,mastered: latest attempt is 100%,saved,2026-09-19T09:40:39.737477-04:00
2026-09-19,Student A,unchecked,Short Vowel Sound o,Practice 1,mastered: latest attempt is 100%; successor waiting for an open queue slot,saved,2026-09-19T09:40:56.568129-04:00
